team,season,week,rating,games_played,hfa,solver_version,last_updated,ratings_sum
Southern Illinois,2025,15,8.50724341350955,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Southern Utah,2025,15,8.407854442061865,10,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Minnesota State Mankato,2025,15,8.339892976473331,2,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Austin Peay,2025,15,8.273297271027023,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Bowling Green,2025,15,8.086752131759736,78,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Abilene Christian,2025,15,7.95129790842597,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Texas State,2025,15,7.829243609812767,77,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
UT Permian Basin,2025,15,7.091018785068335,2,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Sam Houston,2025,15,7.067722364490176,28,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Yale,2025,15,6.81549556007902,8,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Sacramento State,2025,15,6.709301540095549,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Mercer,2025,15,6.380799769626166,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Rice,2025,15,6.083925974806807,77,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Charlotte,2025,15,6.005488188453213,75,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Springfield,2025,15,5.652531463496971,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
UTEP,2025,15,5.374385246510466,73,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Idaho State,2025,15,5.110894287411718,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
North Central College,2025,15,5.098542302369506,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Villanova,2025,15,5.0524361104744875,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
University of Mount Union,2025,15,4.968858896630621,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Ball State,2025,15,4.836465390723439,76,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Northern Arizona,2025,15,4.756077075870919,10,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Monmouth,2025,15,4.748799558676612,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Idaho,2025,15,4.638476531664035,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
UL Monroe,2025,15,4.504452026994466,79,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Rhode Island,2025,15,4.40855942799644,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Western Colorado,2025,15,4.22520452313707,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
West Georgia,2025,15,3.4928381304477245,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Assumption,2025,15,2.8432206608299375,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Lagrange College,2025,15,2.8432206597982472,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
PennWest California,2025,15,2.8432206589953317,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Muhlenberg,2025,15,2.6540307141516544,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Depauw,2025,15,2.3976821052099972,2,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Chapman,2025,15,2.3434705347741076,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Kent State,2025,15,2.198123459281399,77,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Wisconsin-Platteville,2025,15,1.9993335550712161,2,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Saint John's (MN),2025,15,1.999333554858093,2,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Akron,2025,15,1.9467964501931272,77,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Dartmouth,2025,15,1.9401191312588337,9,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Benedict College,2025,15,1.8437204106231115,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
