id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePregameElo,awayId,awayTeam,awayConference,awayClassification,awayPregameElo,highlights,attendance,homePoints,homeLineScores,homePostgameWinProbability,homePostgameElo,awayPoints,awayLineScores,awayPostgameWinProbability,awayPostgameElo,excitementIndex,notes,fetched_at_utc
401767188,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3824,Meade Stadium,227,Rhode Island,CAA,fcs,,2261,Hampton,CAA,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767195,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3688,Wildcat Stadium,160,New Hampshire,CAA,fcs,,311,Maine,CAA,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767234,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3962,Tucker Stadium,2635,Tennessee Tech,Big South-OVC,fcs,,2630,UT Martin,Big South-OVC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767338,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,False,717,Villanova Stadium,222,Villanova,CAA,fcs,,2529,Sacred Heart,FCS Independents,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767349,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3613,Alumni Stadium,2169,Delaware State,MEAC,fcs,,2569,South Carolina State,MEAC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767340,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3998,Zable Stadium,2729,William & Mary,CAA,fcs,,257,Richmond,Patriot,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767453,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3829,Memorial Stadium,282,Indiana State,MVFC,fcs,,93,Murray State,MVFC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767601,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3664,Butler Bowl,2086,Butler,Pioneer,fcs,,2674,Valparaiso,Pioneer,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767611,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3897,Richardson Stadium,2166,Davidson,Pioneer,fcs,,2168,Dayton,Pioneer,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767625,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3701,Drake Stadium,2181,Drake,Pioneer,fcs,,2413,Morehead State,Pioneer,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767557,2025,13,regular,2025-11-22 18:30:00+00:00,False,False,False,True,3737,Gibbs Stadium,2747,Wofford,Southern,fcs,,236,Chattanooga,Southern,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767208,2025,13,regular,2025-11-22 18:30:00+00:00,False,False,False,True,3710,Ernest W. Spangler Stadium,2241,Gardner-Webb,Big South-OVC,fcs,,2710,Western Illinois,Big South-OVC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752774,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,False,3785,Jordan-Hare Stadium,2,Auburn,SEC,fbs,1660.0,2382,Mercer,Southern,fcs,,,,,,,1660.0,,,,,,,2025-11-14T06:12:10.572423+00:00
401767215,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,7003,Houck Field,2546,Southeast Missouri State,Big South-OVC,fcs,,2815,Lindenwood,Big South-OVC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767508,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,3605,Alerus Center,155,North Dakota,MVFC,fcs,,2571,South Dakota State,MVFC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767540,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,3967,UNI-Dome,2460,Northern Iowa,MVFC,fcs,,2754,Youngstown State,MVFC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767756,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,3777,Joe Walton Stadium,2523,Robert Morris,NEC,fcs,,2184,Duquesne,NEC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752773,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,False,3657,Bryant-Denny Stadium,333,Alabama,SEC,fbs,1984.0,2197,Eastern Illinois,Big South-OVC,fcs,,,,,,,1984.0,,,,,,,2025-11-14T06:12:10.572423+00:00
401767170,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,3658,Buccaneer Field,2127,Charleston Southern,Big South-OVC,fcs,,2634,Tennessee State,Big South-OVC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767178,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,3894,Rhodes Stadium,2210,Elon,CAA,fcs,,2448,North Carolina A&T,CAA,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767104,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,3987,Washington-Grizzly Stadium,149,Montana,Big Sky,fcs,,147,Montana State,Big Sky,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767291,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,4133,Braly Municipal Stadium,2453,North Alabama,UAC,fcs,,253,Southern Utah,UAC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762867,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,3739,Glass Bowl,2649,Toledo,Mid-American,fbs,1630.0,2050,Ball State,Mid-American,fbs,1047.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
