id,season,week,home_team,away_team,season_type
400869856,2016,14,Georgia Southern,Troy,regular
400926948,2016,14,Western Kentucky,Louisiana Tech,regular
400869611,2016,14,TCU,Kansas State,regular
400869618,2016,14,Oklahoma,Oklahoma State,regular
400869859,2016,14,South Alabama,New Mexico State,regular
400869858,2016,14,UL Monroe,Louisiana,regular
400868886,2016,14,West Virginia,Baylor,regular
400926943,2016,14,Florida,Alabama,regular
400869857,2016,14,Idaho,Georgia State,regular
400869855,2016,14,Texas State,Arkansas State,regular
400926949,2016,14,Wyoming,San Diego State,regular
400926944,2016,14,Virginia Tech,Clemson,regular
400926946,2016,14,Penn State,Wisconsin,regular
400868921,2016,15,Army,Navy,regular
400934521,2017,5,Iowa State,Texas,regular
400937479,2017,5,Duke,Miami,regular
400935365,2017,5,Illinois,Nebraska,regular
400945262,2017,5,Utah State,BYU,regular
400935284,2017,5,Washington State,USC,regular
400933873,2017,5,Arkansas,New Mexico State,regular
400941811,2017,5,Temple,Houston,regular
400933875,2017,5,Florida,Vanderbilt,regular
400937486,2017,5,Pittsburgh,Rice,regular
400935367,2017,5,Minnesota,Maryland,regular
400941810,2017,5,East Carolina,South Florida,regular
400935370,2017,5,Wisconsin,Northwestern,regular
400937483,2017,5,Georgia Tech,North Carolina,regular
400937485,2017,5,NC State,Syracuse,regular
400937480,2017,5,Boston College,Central Michigan,regular
400935368,2017,5,Penn State,Indiana,regular
400933878,2017,5,Tennessee,Georgia,regular
400937484,2017,5,Louisville,Murray State,regular
400937482,2017,5,Wake Forest,Florida State,regular
400934566,2017,5,Army,UTEP,regular
400944986,2017,5,Kent State,Buffalo,regular
400938890,2017,5,Massachusetts,Ohio,regular
400934519,2017,5,Kansas State,Baylor,regular
400941813,2017,5,Tulsa,Navy,regular
400941809,2017,5,SMU,UConn,regular
400933876,2017,5,Kentucky,Eastern Michigan,regular
400935366,2017,5,Michigan State,Iowa,regular
400935285,2017,5,Stanford,Arizona State,regular
400944845,2017,5,Wyoming,Texas State,regular
400934576,2017,5,Notre Dame,Miami (OH),regular
400933874,2017,5,Auburn,Mississippi State,regular
400944904,2017,5,Bowling Green,Akron,regular
400938624,2017,5,Louisiana Tech,South Alabama,regular
400938626,2017,5,Southern Miss,North Texas,regular
400944844,2017,5,UL Monroe,Coastal Carolina,regular
400944905,2017,5,Western Michigan,Ball State,regular
400985406,2017,5,UCF,Memphis,regular
400938625,2017,5,Cincinnati,Marshall,regular
400938622,2017,5,Florida International,Charlotte,regular
400945263,2017,5,New Mexico,Air Force,regular
400938623,2017,5,Florida Atlantic,Middle Tennessee,regular
400933877,2017,5,LSU,Troy,regular
400935369,2017,5,Rutgers,Ohio State,regular
400933879,2017,5,Texas A&M,South Carolina,regular
400937481,2017,5,Virginia Tech,Clemson,regular
400935288,2017,5,Oregon State,Washington,regular
400934520,2017,5,Texas Tech,Oklahoma State,regular
400933872,2017,5,Alabama,Ole Miss,regular
400945265,2017,5,Fresno State,Nevada,regular
400935287,2017,5,Oregon,California,regular
400935286,2017,5,UCLA,Colorado,regular
400945266,2017,5,UNLV,San José State,regular
400944987,2017,5,San Diego State,Northern Illinois,regular
